"Date","Last"
2014-04-15,492.36
2014-04-16,533.07
2014-04-17,502.89
2014-04-18,502.89
2014-04-19,502.11
2014-04-20,495.12
2014-04-21,494.48
2014-04-22,487.74
2014-04-23,490.54
2014-04-24,495.11
2014-04-25,460.89
2014-04-26,457.44
2014-04-27,443.92
2014-04-28,445.36
2014-04-29,444.38
2014-04-30,447.41
2014-05-01,457.12
2014-05-02,447.93
2014-05-03,438.59
2014-05-04,435.17
2014-05-05,432.37
2014-05-06,428.47
2014-05-07,443.09
2014-05-08,439.76
2014-05-10,453.32
2014-05-11,437.76
2014-05-12,440.33
2014-05-13,440.2
2014-05-14,446.3
2014-05-15,446.88
2014-05-16,447.88
2014-05-17,447.12
2014-05-18,444.55
2014-05-19,444.5
2014-05-20,482.65
2014-05-21,491.04
2014-05-22,522.51
2014-05-23,524.57
2014-05-24,523.26
2014-05-25,567.09
2014-05-26,580.65
2014-05-27,574.9
2014-05-28,570.33
2014-05-29,568.01
2014-05-30,620.08
2014-05-31,618.16
2014-06-01,643.12
2014-06-04,644.15
2014-06-05,660.28
2014-06-06,653.7
2014-06-07,654.44
2014-06-08,655.78
2014-06-09,647.78
2014-06-10,652.33
2014-06-11,629.54
2014-06-12,588.68
2014-06-13,596.9
2014-06-14,563.92
2014-06-15,571.12
2014-06-16,596.15
2014-06-17,610.21
2014-06-18,607.06
2014-06-19,597.87
2014-06-20,593.73
2014-06-21,593.94
2014-06-22,600.6
2014-06-23,590.25
2014-06-24,587.86
2014-06-25,563.92
2014-06-26,574
2014-06-27,582.74
2014-06-28,599.28
2014-06-29,595.3
2014-06-30,639.1
2014-07-01,648.11
2014-07-02,647.44
2014-07-03,641.74
2014-07-04,630.09
2014-07-05,628.8
2014-07-06,633.68
2014-07-07,622.62
2014-07-08,626.62
2014-07-09,625.98
2014-07-10,618.24
2014-07-11,632.87
2014-07-12,634.84
2014-07-13,629.14
2014-07-14,622.1
2014-07-15,622.57
2014-07-16,617.34
2014-07-17,623.2
2014-07-18,628.01
2014-07-19,631.27
2014-07-20,625.07
2014-07-21,622.33
2014-07-22,622.78
2014-07-23,619.72
2014-07-24,600.07
2014-07-25,601.79
2014-07-26,596.46
2014-07-27,594.77
2014-07-28,586.9
2014-07-29,586.22
2014-07-30,565.12
2014-07-31,585.73
2014-08-02,592.3
2014-08-04,587.91
2014-08-06,585.89
2014-08-07,588.76
2014-08-08,593.8
2014-08-09,590.64
2014-08-10,590.14
2014-08-11,575.31
2014-08-12,569.54
2014-08-13,544.83
2014-08-14,506.4
2014-08-15,497.51
2014-08-16,518.37
2014-08-17,490.67
2014-08-18,453.27
2014-08-19,479.85
2014-08-20,508.77
2014-08-21,521.42
2014-08-22,517.73
2014-08-23,499.98
2014-08-24,510.94
2014-08-25,505.31
2014-08-26,509.46
2014-08-27,514.41
2014-08-28,508
2014-08-29,508.65
