"Date","Last"
2014-04-20,495.12
2014-04-27,443.92
2014-05-04,435.17
2014-05-11,437.76
2014-05-18,444.55
2014-05-25,567.09
2014-06-01,643.12
2014-06-08,655.78
2014-06-15,571.12
2014-06-22,600.6
2014-06-29,595.3
2014-07-06,633.68
2014-07-13,629.14
2014-07-20,625.07
2014-07-27,594.77
2014-08-03,592.3
2014-08-10,590.14
2014-08-17,490.67
2014-08-24,510.94
2014-08-31,481
2014-09-07,484.87
2014-09-14,478.58
2014-09-21,394.79
2014-09-28,403.22
2014-10-05,301.66
2014-10-12,375.92
2014-10-19,388.46
2014-10-26,354.66
2014-11-02,325.82
2014-11-09,359.55
2014-11-16,388.03
2014-11-23,367.31
2014-11-30,378.12
2014-12-07,377.13
2014-12-14,351.19
2014-12-21,322.59
2014-12-28,318.05
2015-01-04,261.23
2015-01-11,266.73
2015-01-18,210.8
2015-01-25,252.97
2015-02-01,226.82
2015-02-08,224.02
2015-02-15,233.52
2015-02-22,236.25
2015-03-01,259.8
2015-03-08,275.27
2015-03-15,286.77
2015-03-22,268.84
2015-03-29,243.12
2015-04-05,258.23
2015-04-12,236.78
2015-04-19,223.09
2015-04-26,219.54
2015-05-03,240.95
2015-05-10,241.4
2015-05-17,237.36
2015-05-24,241.93
2015-05-31,231.53
2015-06-07,224.23
2015-06-14,234.28
2015-06-21,245.7
2015-06-28,250.75
2015-07-05,270.82
2015-07-12,307.93
2015-07-19,274.86
2015-07-26,293.41
2015-08-02,283.05
2015-08-09,265.78
2015-08-16,259.43
2015-08-23,227.89
2015-08-30,228.41
2015-09-06,241.68
2015-09-13,230.29
2015-09-20,231.68
2015-09-27,234.18
2015-10-04,239.89
2015-10-11,249.82
2015-10-18,264.26
2015-10-25,287.02
2015-11-01,325.32
2015-11-08,374.33
2015-11-15,320.2
2015-11-22,326.07
2015-11-29,373.67
2015-12-06,395.53
2015-12-13,435.9
2015-12-20,442.87
2015-12-27,424.47
2016-01-03,429.54
2016-01-10,448.47
2016-01-17,381.66
2016-01-24,403.37
2016-01-31,369.02
2016-02-07,377.1
2016-02-14,407.6
2016-02-21,439.87
2016-02-28,434.4
2016-03-06,407.05
2016-03-13,414.25
2016-03-20,414.07
2016-03-27,425.28
2016-04-03,421.67
2016-04-10,422.43
2016-04-17,429.07
2016-04-24,459.9
2016-05-01,454.01
2016-05-08,461.37
2016-05-15,462.22
2016-05-22,441.5
2016-05-29,519.13
2016-06-05,568.9
