"Date","Value"
1980-01-31,3167.16
1980-02-29,3236.82
1980-03-31,3091.1
1980-04-30,2910.1
1980-05-31,2585.8
1980-06-30,2498.05
1980-07-31,2464.77
1980-08-31,2312.21
1980-09-30,2386.06
1980-10-31,2305.37
1980-11-30,2173.76
1980-12-31,2109.82
1981-01-31,2093.07
1981-02-28,2040.82
1981-03-31,2115.77
1981-04-30,2109.6
1981-05-31,1933.01
1981-06-30,1660.3
1981-07-31,2048.31
1981-08-31,2246.95
1981-09-30,2337.12
1981-10-31,2172.65
1981-11-30,2056.47
1981-12-31,2104.53
1982-01-31,2188.09
1982-02-28,2087.11
1982-03-31,1947.78
1982-04-30,1745.4
1982-05-31,1714.97
1982-06-30,1571.67
1982-07-31,1578.29
1982-08-31,1559.55
1982-09-30,1686.09
1982-10-31,1638.03
1982-11-30,1541.25
1982-12-31,1643.54
1983-01-31,1784.2
1983-02-28,1942.27
1983-03-31,1859.38
1983-04-30,1877.23
1983-05-31,2065.07
1983-06-30,2297.66
1983-07-31,2302.73
1983-08-31,2302.95
1983-09-30,2138.04
1983-10-31,2094.39
1983-11-30,2219.61
1983-12-31,2540.82
1984-01-31,2621.95
1984-02-29,2497.39
1984-03-31,2536.19
1984-04-30,2536.42
1984-05-31,2677.51
1984-06-30,2485.05
1984-07-31,2216.52
1984-08-31,2213.66
1984-09-30,2311.1
1984-10-31,2257.31
1984-11-30,2255.11
1984-12-31,2140.47
1985-01-31,2219.61
1985-02-28,2273.4
1985-03-31,2232.4
1985-04-30,2240.78
1985-05-31,2129
1985-06-30,2091.74
1985-07-31,2209.91
1985-08-31,2275.39
1985-09-30,2342.19
1985-10-31,2363.13
1985-11-30,2297.66
1985-12-31,2379.45
1986-01-31,2323.67
1986-02-28,2218.51
1986-03-31,2107.18
1986-04-30,1989.67
1986-05-31,1905.67
1986-06-30,1905.67
1986-07-31,2022.3
1986-08-31,2068
1986-09-30,2206
1986-10-31,2073
1986-11-30,2024
1986-12-31,1976
1987-01-31,1976
1987-02-28,1965
1987-03-31,2011
1987-04-30,2072
1987-05-31,2068
1987-06-30,1997
1987-07-31,2127.1
1987-08-31,2022
1987-09-30,1988
1987-10-31,1913
1987-11-30,1938
1987-12-31,1896
1988-01-31,1973
1988-02-29,1799
1988-03-31,1685
1988-04-30,1649
1988-05-31,1698
1988-06-30,1624
1988-07-31,1610
1988-08-31,1448
1988-09-30,1239
1988-10-31,1304
1988-11-30,1473
1988-12-31,1503
1989-01-31,1435
1989-02-28,1483.89
1989-03-31,1413
1989-04-30,1290
1989-05-31,1205
1989-06-30,1252
1989-07-31,1351.49
1989-08-31,1292
1989-09-30,1140
1989-10-31,1064
1989-11-30,1010
1989-12-31,970
1990-01-31,995
1990-02-28,1022
1990-03-31,1131
1990-04-30,1336
1990-05-31,1443
1990-06-30,1330
1990-07-31,1346
1990-08-31,1284
1990-09-30,1371
1990-10-31,1309
1990-11-30,1352
1990-12-31,1297
1991-01-31,1242
1991-02-28,1215
1991-03-31,1211
1991-04-30,1144
1991-05-31,1063.4
1991-06-30,1041.48
1991-07-31,996.86
1991-08-31,1136.35
1991-09-30,1273.32
1991-10-31,1304.4
1991-11-30,1316.94
1991-12-31,1366.61
1992-01-31,1281.57
1992-02-29,1191.05
1992-03-31,1127.96
1992-04-30,1045.48
1992-05-31,995.31
1992-06-30,962.63
1992-07-31,1105.24
1992-08-31,1182.11
1992-09-30,1118.93
1992-10-31,1071.48
1992-11-30,1076.38
1992-12-31,1034.9
1993-01-31,1035.57
1993-02-28,990.99
1993-03-31,977.32
1993-04-30,1010.75
1993-05-31,998.07
1993-06-30,941.69
1993-07-31,1058.64
1993-08-31,1087.17
1993-09-30,1263.3
1993-10-31,1290.47
1993-11-30,1321.78
1993-12-31,1359.51
1994-01-31,1263.63
1994-02-28,1226.59
1994-03-31,1307.19
1994-04-30,1244
1994-05-31,1378.69
1994-06-30,1458.95
1994-07-31,1555.87
1994-08-31,1551.17
1994-09-30,1486.26
1994-10-31,1447.71
1994-11-30,1430.62
1994-12-31,1397.51
1995-01-31,1467.56
1995-02-28,1510.63
1995-03-31,1484.93
1995-04-30,1463.97
1995-05-31,1448.41
1995-06-30,1437.17
1995-07-31,1360.76
1995-08-31,1410.49
1995-09-30,1395.08
1995-10-31,1394.64
1995-11-30,1435.9
1995-12-31,1380.96
1996-01-31,1349.11
1996-02-29,1370.55
1996-03-31,1338.6
1996-04-30,1457.33
1996-05-31,1524.44
1996-06-30,1537.56
1996-07-31,1490.38
1996-08-31,1501.72
1996-09-30,1475.95
1996-10-31,1477.58
1996-11-30,1465.54
1996-12-31,1474.23
1997-01-31,1428.79
1997-02-28,1373.28
1997-03-31,1521.88
1997-04-30,1570.61
1997-05-31,1568.3
1997-06-30,1693.62
