"Date","Close"
2006-04-10,68.02
2006-04-11,68.2
2006-04-12,67.84
2006-04-13,68.82
2006-04-17,69.79
2006-04-18,70.75
2006-04-19,71.85
2006-04-20,71.09
2006-04-21,72.81
2006-04-24,71.01
2006-04-25,70.64
2006-04-26,69.54
2006-04-27,68.7
2006-04-28,69.62
2006-05-01,71.5
2006-05-02,72.34
2006-05-03,70.22
2006-05-04,68.32
2006-05-05,68
2006-05-08,67.88
2006-05-09,68.4
2006-05-10,69.77
2006-05-11,70.3
2006-05-12,69.11
2006-05-15,66.63
2006-05-16,66.7
2006-05-17,65.7
2006-05-18,66.74
2006-05-19,65.57
2006-05-22,66.28
2006-05-23,67.77
2006-05-24,66.1
2006-05-25,67.8
2006-05-26,67.75
2006-05-30,68.32
2006-05-31,67.73
2006-06-01,66.82
2006-06-02,68.9
2006-06-05,68.74
2006-06-06,68.76
2006-06-07,67.28
2006-06-08,67.12
2006-06-09,68.07
2006-06-12,67.08
2006-06-13,65.18
2006-06-14,65.79
2006-06-15,66.16
2006-06-16,66.25
2006-06-19,65.54
2006-06-20,65.29
2006-06-21,66.35
2006-06-22,67.03
2006-06-23,66.89
2006-06-26,67.7
2006-06-27,67.98
2006-06-28,68.31
2006-06-29,69.51
2006-06-30,69.77
2006-07-03,69.93
2006-07-05,71
2006-07-06,70.77
2006-07-07,69.85
2006-07-10,69.56
2006-07-11,70.08
2006-07-12,71.14
2006-07-13,73.25
2006-07-14,73.22
2006-07-17,71.65
2006-07-18,70.75
2006-07-19,69.85
2006-07-20,69.1
2006-07-21,69.52
2006-07-24,70.17
2006-07-25,69
2006-07-26,69.17
2006-07-27,69.68
2006-07-28,68.5
2006-07-31,69.52
2006-08-01,70.15
2006-08-02,71.12
2006-08-03,70.56
2006-08-04,69.81
2006-08-07,72
2006-08-08,71.3
2006-08-09,71.17
2006-08-10,69.6
2006-08-11,69.73
2006-08-14,68.59
2006-08-15,68.21
2006-08-16,67.18
2006-08-17,66.05
2006-08-18,66.18
2006-08-21,67.42
2006-08-22,67.05
2006-08-23,65.95
2006-08-24,66.75
2006-08-25,66.55
2006-08-28,64.88
2006-08-29,64.19
2006-08-30,64.85
2006-08-31,64.8
2006-09-01,63.75
2006-09-05,63.31
2006-09-06,62.2
2006-09-07,61.94
2006-09-08,60.9
2006-09-11,60.04
2006-09-12,58.76
2006-09-13,59
2006-09-14,58.15
2006-09-15,58.06
2006-09-18,58.32
2006-09-19,56.25
2006-09-20,55.05
2006-09-21,55.89
2006-09-22,54.64
2006-09-25,55.67
2006-09-26,55.42
2006-09-27,57.16
2006-09-28,56.65
2006-09-29,56.81
2006-10-02,55.31
2006-10-03,53.24
2006-10-04,54.04
2006-10-05,54.59
2006-10-06,54.35
2006-10-09,54.6
2006-10-10,53.67
2006-10-11,52.65
2006-10-12,53.43
2006-10-13,53.65
2006-10-16,54.72
2006-10-17,53.99
2006-10-18,52.85
2006-10-19,53.9
2006-10-20,52.75
2006-10-23,52.37
2006-10-24,52.84
2006-10-25,54.7
2006-10-26,53.65
2006-10-27,54
2006-10-30,51.98
2006-10-31,52.1
2006-11-01,52.12
2006-11-02,51.5
2006-11-03,52.68
2006-11-06,53.45
2006-11-07,52.6
2006-11-08,53.4
2006-11-09,54.5
2006-11-10,53.3
2006-11-13,52.35
2006-11-14,52.14
2006-11-15,52.5
2006-11-16,50.59
2006-11-17,50.94
2006-11-20,50.97
2006-11-21,51.98
2006-11-22,51.31
2006-11-24,51.8
2006-11-27,52.3
2006-11-28,52.71
2006-11-29,54.14
2006-11-30,54.58
2006-12-01,55.05
2006-12-04,54.2
2006-12-05,54.3
2006-12-06,53.89
2006-12-07,53.86
2006-12-08,53.58
2006-12-11,53
2006-12-12,52.55
2006-12-13,52.88
2006-12-14,53.73
2006-12-15,54.3
2006-12-18,53.16
2006-12-19,54
2006-12-20,54.05
2006-12-21,53.34
2006-12-22,52.92
2006-12-26,51.64
2006-12-27,51.35
2006-12-28,51.3
2006-12-29,51.6
2007-01-03,49.4
2007-01-04,47.35
2007-01-05,47.83
2007-01-08,47.49
2007-01-09,47.3
2007-01-10,45.28
2007-01-11,44.34
2007-01-12,44.63
2007-01-16,43.4
2007-01-17,44.22
2007-01-18,43.23
2007-01-19,44.43
2007-01-22,43.84
2007-01-23,45.65
2007-01-24,46.1
2007-01-25,45.27
2007-01-26,46.28
2007-01-29,44.97
2007-01-30,47.36
2007-01-31,48.24
2007-02-01,47.84
2007-02-02,49.34
2007-02-05,49.1
2007-02-06,49.21
2007-02-07,48.25
2007-02-08,49.75
2007-02-09,49.99
2007-02-12,48.37
2007-02-13,49.36
2007-02-14,48.45
2007-02-15,48.35
2007-02-16,49.35
2007-02-20,48.67
2007-02-21,49.86
2007-02-22,50.33
2007-02-23,50.46
2007-02-26,50.9
2007-02-27,49.95
2007-02-28,51.18
2007-03-01,51.24
2007-03-02,51.01
2007-03-05,49.62
2007-03-06,50.32
2007-03-07,51.29
2007-03-08,51.29
2007-03-09,50.11
2007-03-12,49.35
2007-03-13,48.94
2007-03-14,49.14
2007-03-15,48.67
2007-03-16,48.42
2007-03-19,48.7
2007-03-20,48.46
2007-03-21,48.8
2007-03-22,50.18
2007-03-23,50.57
2007-03-26,51.17
2007-03-27,51.2
2007-03-28,52
2007-03-29,53.62
2007-03-30,53.35
2007-04-02,53.56
2007-04-03,52.46
2007-04-04,52.33
2007-04-05,52.01
2007-04-09,50.35
2007-04-10,50.61
2007-04-11,50.46
2007-04-12,51.65
2007-04-13,51.52
2007-04-16,51.2
2007-04-17,50.29
2007-04-18,50.14
2007-04-19,49.22
2007-04-20,50.05
2007-04-23,51.22
2007-04-24,50.39
2007-04-25,51.32
2007-04-26,50.94
2007-04-27,51.84
2007-04-30,51.24
2007-05-01,50.36
2007-05-02,49.59
2007-05-03,49.28
2007-05-04,48.3
2007-05-07,48.06
2007-05-08,48.64
2007-05-09,48.01
2007-05-10,48.15
2007-05-11,48.57
2007-05-14,48.56
2007-05-15,48.99
2007-05-16,48.53
2007-05-17,50.16
2007-05-18,50.1
2007-05-21,50.82
2007-05-22,49.92
2007-05-23,50.17
2007-05-24,48.93
2007-05-25,49.5
2007-05-29,48.4
2007-05-30,48.21
2007-05-31,48.96
2007-06-01,49.46
2007-06-04,50.35
2007-06-05,50.02
2007-06-06,50.31
2007-06-07,50.65
2007-06-08,49.06
2007-06-11,49.84
2007-06-12,49.56
2007-06-13,50.09
2007-06-14,51.1
2007-06-15,51.53
2007-06-18,52.14
2007-06-19,52.12
2007-06-20,51.55
2007-06-21,51.6
2007-06-22,51.89
2007-06-25,51.96
2007-06-26,51.12
2007-06-27,51.88
2007-06-28,52.47
2007-06-29,53
2007-07-02,53.53
2007-07-03,53.54
2007-07-05,54.15
2007-07-06,54.68
2007-07-09,54.35
2007-07-10,54.72
2007-07-11,54.66
2007-07-12,54.74
2007-07-13,55.54
2007-07-16,55.76
2007-07-17,55.64
2007-07-18,56.58
2007-07-19,57.08
2007-07-20,57
2007-07-23,56.38
2007-07-24,55.16
2007-07-25,57.44
2007-07-26,56.22
2007-07-27,57.74
2007-07-30,57.5
2007-07-31,58.53
2007-08-01,57.76
2007-08-02,57.7
